Year,USDX
2017,94.55
2017,93.01
2017,92.12
2018,89.13
2018,90.61
2018,91.84
2018,93.99
2018,94.49
2018,95.14
2018,95.19
2018,97.13
2018,97.27
2018,96.17
2019,95.58
2019,96.16
2019,97.28
2019,97.48
2019,97.75
2019,96.13
2019,98.52
2019,99.38
2019,97.35
2019,96.39
2020,97.39
2020,99.05
2020,99.02
2020,98.34
2020,97.39
2020,93.49
2020,92.14
2020,93.89
2020,91.87
2020,89.94
2021,90.58
2021,90.93
2021,93.23
2021,91.28
2021,92.44
2021,92.63
2021,94.25
2021,94.12
2021,95.99
2021,95.67
2022,96.54
2022,96.71
2022,98.31
2022,101.75
2022,104.69
2022,105.90
2022,108.70
2022,112.12
2022,111.53
2022,105.95
2023,102.10
2023,104.87
2023,102.51
2023,101.67
2023,104.32
2023,102.91
2023,101.86
2023,103.62
2023,106.66
2023,103.50
2023,101.33
2024,103.27
2024,104.16
2024,104.55
2024,106.22
2024,104.67
2024,105.87
2024,104.10
2024,101.70
2024,100.78
2024,103.99
2024,104.085
